COUNTRY,States Affected,long lat
Nigeria,Abia,"5.4527, 7.5248"
Nigeria,Adamawa,"9.3265, 12.3984"
Nigeria,Akwa Ibom,"4.9057, 7.8537"
Nigeria,Anambra,"6.2209, 6.9370"
Nigeria,Bauchi,"10.3010, 9.8237"
Nigeria,Bayelsa,"4.7719, 6.0699"
Nigeria,Benue,"7.3369, 8.7404"
Nigeria,Borno,"11.8846, 13.1520"
Nigeria,Cross River,"5.8702, 8.5988"
Nigeria,Delta,"5.7040, 5.9339"
Nigeria,Ebonyi,"6.2649, 8.0137"
Nigeria,Edo,"6.6342, 5.9304"
Nigeria,Ekiti,"7.7190, 5.3110"
Nigeria,Enugu,"6.4584, 7.5464"
Nigeria,Abuja FCT,"8.8941, 7.1860"
Nigeria,Gombe,"10.2791, 11.1731"
Nigeria,Imo,"5.5720, 7.0588"
Nigeria,Jigawa,"12.2280, 9.5616"
Nigeria,Kaduna,"10.5105, 7.4165"
Nigeria,Kano,"12.0022, 8.5920"
Nigeria,Katsina,"12.9816, 7.6223"
Nigeria,Kebbi,"11.4942, 4.2333"
Nigeria,Kogi,"7.7337, 6.6906"
Nigeria,Kwara,"8.9669, 4.3874"
Nigeria,Lagos,"6.5244, 3.3792"
Nigeria,Nasarawa,"8.4998, 8.1997"
Nigeria,Niger,"9.9309, 5.5983"
Nigeria,Ogun,"6.9980, 3.4737"
Nigeria,Ondo,"7.1000, 4.8417"
Nigeria,Osun,"7.5629, 4.5200"
Nigeria,Oyo,"7.8430, 3.9368"
Nigeria,Plateau,"9.2182, 9.5179"
Nigeria,Rivers,"4.8396, 6.9112"
Nigeria,Sokoto,"13.0059, 5.2476"
Nigeria,Taraba,"7.9994, 10.7740"
Nigeria,Yobe,"12.2939, 11.4390"
Nigeria,Zamfara,"12.1222, 6.2236"
